Business Name	Business Established	Residential	House Number	Building Name	Address	City	Business Type	Local Agent	Telephone No.	Telegraphic Address		OSM_ID	OSM_NOTE																
"Gavin Sinclair, J.P."				Crown Mansions	41 1/2 Union St	Aberdeen	Advocates																						
George Forbes				Crown Mansions	41 1/2 Union St	Aberdeen	Solicitor																						
John Lints				Crown Mansions	41 1/2 Union St	Aberdeen	Solicitor																						
George Gordon				Crown Mansions	41 1/2 Union St	Aberdeen	Manufacturers' agent		4227																				
Dan Flynn				Crown Mansions	41 1/2 Union St	Aberdeen	Commission agent		7301 & 7302	"""Hockey, Aberdeen"""																			
W. T. C. Penman				Crown Mansions	41 1/2 Union St	Aberdeen	Wholesale millinery																						
Sun Ray Ladies Hairdressing Salon				Crown Mansions	41 1/2 Union St	Aberdeen	Hairdressing		4664																				
Aberdeen Knitwear Co.				Crown Mansions	41 1/2 Union St	Aberdeen																							
"C. & C. House Purchase Co., Ltd. (Glasgow)"	1902			Crown Mansions	41 1/2 Union St	Aberdeen	Building society 																						
"Alex. Bell & Co., "				Crown Mansions	41 1/2 Union St 	Aberdeen	Tea merchants																						
Robert Leith				Crown Mansions	41 1/2 Union St 	Aberdeen	Manufacturers agent		3206																				
James Morrice & Son 				Crown Mansions	41 1/2 Union St	Aberdeen	Warehousemen																						
"Rowntree & Co., Ltd; J. Blyth, representative"	1862			Crown Mansions	41 1/2 Union St	Aberdeen	Confectionery																						
"J. F. Tocher, D.Sc, LL.D., F. I. C"				Crown Mansions	41 1/2 Union St	Aberdeen	"Public analyst, University lecturer, analyst to Highland and Agricultural Society of Scotland"		2729																				
Wm. Jas. Williamson 				Crown Mansions	41 1/2 Union St	Aberdeen	Manufacturers' agent																						
John Corrigall				Crown Mansions	41 1/2 Union St	Aberdeen	Com. trav.																						
Wm. Pirie				Crown Mansions	41 1/2 Union St	Aberdeen	Manufacturers' agent																						
"The Provident Clothing and Supply Co., Ltd.; R. Allardyce, manager"				Crown Mansions	41 1/2 Union St	Aberdeen																							
"J. S. Fry & Sons, Ltd; S. A. Williams, agent"				Crown Mansions	41 1/2 Union St	Aberdeen	Chocolate manufacturers																						
"Abercar, Ltd."				Crown Mansions	41 1/2 Union St 	Aberdeen	Carbide manufrs.																						
Electrolux Ltd.				Crown Mansions	41 1/2 Union St	Aberdeen	Appliance manufacturer																						
A. R. Wannop				Crown Mansions	41 1/2 Union St	Aberdeen	"Director of county work, College of Agriculture"																						
Porter & Cushnie				Crown Mansions	41 1/2 Union St	Aberdeen	Com. agents																						
"Old Age Pensions; clerk, Alex. M. Craig"				Crown Mansions	41 1/2 Union St	Aberdeen																							
"Aberdeen Burgh Insurance Committee; clerk, Alex. M. Craig"				Crown Mansions	41 1/2/ Union St	Aberdeen																							
George S. Anderson & Co.				Crown Mansions	41 1/2 Union St	Aberdeen	Warehousemen																						
Mrs. Alex. Gordon Horne				Crown Mansions	41 1/2 Union St	Aberdeen	Com. agent																						
John N. Clark				Crown Mansions	41 1/2 Union St	Aberdeen	Manufacturers' agent																						
"Barlow & Jones, Ltd."				Crown Mansions	41 1/2 Union St	Aberdeen	Cotton spinners and manufacturers																						
North of Scotland College of Agriculture; secretary R. N. Lemmon				Crown Mansions	41 1/2 Union St	Aberdeen			1046	"Nosca, Aberdeen"																			
Craibstone School of Rural Domestic Economy				Crown Mansions	41 1/2 Union St	Aberdeen																							
W. A. Watson				Crown Mansions	41 1/2 Union St	Aberdeen	Manufacturers' agent																						
"A. A. Prosser, secretary of the North of Scotland College of Agriculture"				Crown Mansions	41 1/2 Union St	Aberdeen																							
Craibstone Agricultural & Horticultural Experimental Areas in Forestry Department; superintendent F. K. Boyd				Crown Mansions	41 1/2 Union St	Aberdeen			1046	"Nosca, Aberdeen"																			
"John M. Aiken, R.S.A., A.R.E."				Crown Mansions	41 1/2 Union St	Aberdeen	Artist																						
Thomas Rennie				Crown Mansions	41 1/2 Union St	Aberdeen	Chartered accountant		4511																				
"Ellams Duplicator Co., Ltd."				Crown Mansions	41 1/2 Union St	Aberdeen	Duplicator																						
"John C. Scott (T. H. Downing and Co., Ltd., Leicester)"				Crown Mansions	41 1/2 Union St	Aberdeen	Commercial traveller 																						
"Albert D. Imper, BSc., Phd. N.D.A."				Crown Mansions	41 1/2 Union St	Aberdeen	Agricultural economist		1046																				
"Jas. D. McCombie, B.L."				Crown Mansions	41 1/2 Union St	Aberdeen	Solicitor		1237																				
George Shaw				Crown Mansions	41 1/2 Union St	Aberdeen	Commission agent																						
"Colonial Mutual Life Assurance Society, Ltd; resident secretary J. R. Wallace"				Crown Mansions	41 1/2 Union St	Aberdeen			4450																				
J. F. Campbell & Co.					43 Union St 	Aberdeen	House furnishers																						
Stead & Simpson Ltd					49 Union St	Aberdeen	Boot and shoe makers																						
Style & Mantle	1934				51 Union St	Aberdeen	"Costumiers, gowns and mantles"		839																				
"Swears & Wells, Ltd."					53 Union St	Aberdeen	Furriers		6175																				
"H. Samuel, Ltd"					55 Union St	Aberdeen	Watchmakers and jewellers		6229																				
"John Falconer & Co., Ltd."				The Royal Arcade Warehouse	65 Union St	Aberdeen	Draper																						
"National Bank of Scotland, Limited (Chief Office); agent, William McNab"					67 Union St	Aberdeen			2382																				
"Corporation Gas Showrooms; superintendent, D. Parkinson"					20 Union St	Aberdeen																							
"Public Library and Reading Room (East Branch); librarian in charge, Miss Clark"					22 Union St	Aberdeen																							
C. O. U. Oddfellows' F. S. 					22 Union St	Aberdeen																							
"Singer Sewing Machine Co., Ltd."					24 Union St	Aberdeen																							
Esslemont & Macintosh 					26 to 38 Union St	Aberdeen																							
"""Roselle"", ladies' and children's outfitter (M. J. McKay)"					520 Union St	Aberdeen	Ladies' and children's outfitter		3582																				
"Frederick I. Hyams, of Hyams Bros."					518 Union St	Aberdeen	Furrier		5680																				
"""Metcalfe"""					516 Union St	Aberdeen	Confectioner																						
West-End Hosiery Shop; proprietrix Madame Entrop					514 Union St	Aberdeen																							
G. L. MacKeggie					512 Union St	Aberdeen	"Printer, stationer and newsagent"																						
Mary E. J. Mackie					510 Union St	Aberdeen	Milliner																						
"Pegler & Co., Ltd."					504-508 Union St	Aberdeen	Fruiterers (to His Majesty the King)		6768																				
Arthur W. MacMahon					502 Union St	Aberdeen	Portrait and commercial photographer		187																				
		Misses Gray			498 Union St	Aberdeen																							
"Mitchell & Muil, Ltd"					496 Union St	Aberdeen	Luncheon and tearooms																						
A. & W. Alexander					492 Union St 	Aberdeen	"Fishmongers, butchers and game dealers"																						
"The British Linen Bank (West-End branch); agent, C.S. Asher"					484 Union St	Aberdeen			16																				
A. & J. Macnab					482 Union St	Aberdeen	Dyers and cleaners		2179																				
McHattie & Lumsden					480 Union St	Aberdeen	Solicitors		1071																				
"National Provident Institution; James C. V. Cruickshank, assistant district manager"					480 Union St	Aberdeen																							
"Miss Frances Robertson, M.B.S"					480 Union St	Aberdeen	Physical instructress																						
"""The Divan"": W. Dawson"					478 Union St	Aberdeen	Tobacconist		3550																				
W. F. Hay					476 Union St	Aberdeen	Chemist		1784																				
"J. M. Chrystie, F.R.F.P.S. (Glas.), L.R.C.P. & S.(Edin.), L.D.S., R.F.P.S.(Glas.)"					472A Union St	Aberdeen	Dental Surgeon		611																				
"E. M. Chrystie, L.D.S., R.F.P.S. (Glas.)"					472A Union St	Aberdeen	Dental Surgeon																						
"David Beck, Dispensing Opticians Ltd."					472 Union St	Aberdeen	Optician																						
"John Ledingham & Son, Ltd."					470 Union St	Aberdeen	Bakers and biscuit manufacturers		2544																				
"Bruce Mackenzie, Ltd."					468 Union St	Aberdeen	"Painters, decorators and glaziers"		2176																				
T. Watson					466 Union St	Aberdeen	"Tobacconist, fancy goods, sports dealer and practical cutler (kiosk)"		2660																				
West-End Fancy Goods Store					464 Union St	Aberdeen	Stationery and newsagent																						
Arch. McKellar					456 Union St	Aberdeen	"Family grocer, wine and spirit merchant"		1891																				
McGregor McLean					452 Union St	Aberdeen	Dental surgeon		2130																				
"""Bowman"""					450 Union St	Aberdeen	Tobacconist																						
Dugan & Mitchell					448 Union St	Aberdeen	"Practical tailors, hatters and outfitters"		94																				
John Raffan					446 Union St	Aberdeen	Boot and shoe warehouse		217																				
Peter Shand					446 Union St	Aberdeen	Chiropodist		217																				
Hyams Bros.					442 Union St	Aberdeen	Expert manufacturing furriers		3363																				
"National Bank of Scotland, Ltd., West End Branch; Alexander McLeay, agent"					440 Union St	Aberdeen			2926																				
Mrs. Wm. Moggach				Westbourne Private Hotel	438 Union St	Aberdeen			237																				
"Sun Insurance Office, Ltd.; district secretary, Douglas W. Brown"	1710				438 Union St	Aberdeen			2294																				
Sun Life Assurance Society; manager W. Wilson Scott					438 Union st	Aberdeen			1931																				
The Gordon Cleaning Co. (Huntly)					434 Union St	Aberdeen	Cleaners and dyers		3971																				
J. J. Stewart					432 Union St	Aberdeen	"Hosier, glover and fancy drapery"																						
A. J. B. Strachan					416 Union St	Aberdeen	Photographer		851																				
M. A. Ross					414 Union St	Aberdeen	Ladies' and children's outfitter		5533																				
West End Book Shop					412 Union St	Aberdeen	"Booksellers, stationers, librarians, steamer agents"		6																				
C. Herbert McDonald					410 Union St	Aberdeen	Dentist		3666																				
Miss E. Greig					406 Union St	Aberdeen	Apartments																						
Thomsons'					402-408 Union St	Aberdeen	Manufacturing confectioners		1945																				
"N. of S. Bank Ltd. (Western branch); agent, James F. Cooper"					262 Union St	Aberdeen																							
Alex. B. Beattie 					262 Union St	Aberdeen	Bank Agent		3523																				
J. Jeffrey Moffat					260A Union St	Aberdeen	Fancy leather goods dealer																						
"A. B. Robertson & Son, Ltd."					260 Union St	Aberdeen	"Electrical engineers (by appointment to His Majesty the King), plumbers, brass-finishers and electro-platers"		398 & 399	"""Light, Aberdeen"""																			
"Pearl Assurance Co., Ltd.; divisional manager, W. B. Wight"					258 Union St	Aberdeen			1486																				
Robert D. Stephenson					258 Union St	Aberdeen	Musician (drums and trumpet)		6543																				
		Andrew Shivas			258 Union St	Aberdeen			3016																				
"Scottish Provident Institution; W. M. Graham, local secy."	1837				256 Union St	Aberdeen			46																				
John Haywood					256 Union St	Aberdeen	Commissionaire																						
"The Eagle Star and British Dominions Insurance Co., Ltd.; branch manager, P. Sinclair Brown, F.C.I.I."					256 Union St	Aberdeen			5711 & 5712	"""Domarico, Aberdeen"""																			
Claud Hamilton (Aberdeen) Ltd.					254A Union St	Aberdeen	"Electrical, motor-car, and power engineers; General office, electric light show-rooms, and motor-car depot."		7100																				
"Motor Union Insurance Co., Ltd."					254 Union St	Aberdeen			3257	"""Motunicon, Aberdeen"""																			
Automobile Association					254 Union St	Aberdeen				"""Fanum, Aberdeen"""																			
Car Corporation of Great Britain ltd.					254 Union St	Aberdeen			3257																				
"Sun Life Assurance Co. of Canada; branch manager, A. J. Cruickshank"				Amicable House	252 Union St	Aberdeen			2585																				
"Hector Powe, Ltd."				Amicable House	252 Union St	Aberdeen	Tailor		5703																				
"Mrs. Rose Lightfoot, M.I.S.Ch."				Amicable House	252 Union St	Aberdeen	Chiropodist		5795																				
"""Ardente"" (R. H. Dent)"				Amicable House	252 Union St	Aberdeen	"""for Deaf Ears"""		4534																				
"Roderick Tweedie, Ltd."				Amicable House	252 Union St	Aberdeen	Sports outerwear specialists																						
George Sim & Co.				Amicable House	252 Union St	Aberdeen	Furrier (manufacturing)		3914																				
"E. R. Lumsden, M.A."				Amicable House	252 Union St	Aberdeen	Advocate 		1950																				
"The Amicable Building Co., Ltd"				Amicable House	252 Union St	Aberdeen			6000	"""Amicable, Aberdeen"""																			
Modern Homes (Abdn.) Ltd.				Amicable House	252 Union St	Aberdeen			6000	"""Amicable, Aberdeen"""																			
"T. Scott Sutherland, F.R.I.B.A."				Amicable House	252 Union St	Aberdeen	Chartered architect and surveyor		6000	"""Amicable, Aberdeen"""																			
"Scottish Amicable Building Soc.; branch manager, T. Scott Sutherland"				Amicable House	252 Union St	Aberdeen																							
"Scottish Union and National Insurance Co.; resident secretary, Robert Aitken"					248 Union St	Aberdeen			516																				
"Chas. W. Gall, M.A., L.L.B"					248 Union St	Aberdeen	Solicitor																						
Alex. Aitken & Sons					248 Union St	Aberdeen	"Painters, glaziers and decorators"		806																				
John C. Deane					248 Union St	Aberdeen	"Accountant, house agent, and debt recovery agent"		593																				
Abbot & Co. 					248 Union St	Aberdeen	Estate agents and valuers		6819																				
"Andrew McRobb, Ltd."					240 Union St	Aberdeen	"Plumbers, gasfitters, electrical and sanitary engineers"		2413																				
J. & A. Davidson					238 Union St	Aberdeen	"Coal merchants, steamship owners, and ship and insurance brokers"		2873																				
"Clydesdale Bank Ltd; agent, Alex W. Howitt"				Clydesdale Bank Buildings	232 Union St	Aberdeen			2451																				
Stewart & Murray				Clydesdale Bank Buildings	232A Union St	Aberdeen	Advocates and notaries public		117	"""Signum, Aberdeen"""																			
"T. P. E. Murray, M.A., L.L.B."				Clydesdale Bank Buildings	232A Union St	Aberdeen	Advocate (of Stewart & Murray)		117																				
"Deeside District Council of the County; clerk and treas., John Murray, J.P"				Clydesdale Bank Buildings	232A Union St	Aberdeen																							
"Aberdeen and District Horse Shoers' and Agricultural Blacksmiths' Association; secretary and treasurer, T. P. E. Murray "				Clydesdale Bank Buildings	232A Union St	Aberdeen																							
"The Royal London Mutual Insurance, Ltd."				Clydesdale Bank Buildings	232A Union St	Aberdeen																							
"Roadways Transport Development Ltd.; branch manager, Alan T. M. Stephen "				Clydesdale Bank Buildings	232A Union St	Aberdeen			5224																				
"Alliance Assurance Co. Ltd.; local manager, Wm. D. Nicholson"					230 Union St	Aberdeen			2483	"""Societate, Aberdeen"""																			
Offices of the Royal Infirmary and Mental Hospital					230 Union St	Aberdeen																							
"South Aberdeen Unionist Association; secretary, J. Cranna"					230 Union St	Aberdeen			4261																				
"Aberdeen Joint Hospital Steam Heating & Laundry Co., Ltd; secretary, John A. McConachie"					230 Union St	Aberdeen 			7071																				
"N. of S. Bank Ltd (West-End branch); agent, James F. Cooper"					226 Union St	Aberdeen																							
"Norwich Union Insce. Soc., Ltd."					224 Union St	Aberdeen			23																				
"Norwich Union Life Insce. Soc.; district manager, Alex. S. Anderson, M.B.E."					224 Union St	Aberdeen			23																				
Hunter & Gordon					222 Union St	Aberdeen	Advocates		4755 & 4756																				
Wm. Mackay					222 Union St	Aberdeen	Advocate of Hunter & Gordon																						
Jas. Johnstone					222 Union St	Aberdeen	Advocate of Hunter & Gordon																						
Aberdeen Fish Trade Association; secretary W. Davidson					222 Union St	Aberdeen			2567																				
"British Law Insurance Co., Ltd; dist. secretary, Jas. H. McRobert, A.C.I.I."					222 Union st	Aberdeen																							
"General Accident, Fire and Life Assce. Corporation Ltd.; branch manager, S. Hutcheson"				General Assurance Chambers	220 Union St	Aberdeen			3270 & 3271																				
"The State Assurance Co., Ltd"				General Assurance Chambers	220 Union St	Aberdeen			346																				
"British Equitable Assurance Co., Ltd; district inspector, D. J. Morton"				General Assurance Chambers	220 Union St	Aberdeen																							
G. H. Bower & Gibb				General Assurance Chambers	220 Union St	Aberdeen	Advocates		802																				
G. & A. Horne				General Assurance Chambers	220 Union st	Aberdeen	Ladies' and gent.'s tailors																						
Miss Isabel Forbes				General Assurance Chambers	220 Union St	Aberdeen	"Teacher of Spanish (and) translator of French, Italian, Portuguese, and Spanish"																						
"Photo Art Club; secretary, William Duncan"				General Assurance Chambers	220 Union St	Aberdeen																							
Geo. Cruickshank & Co.				General Assurance Chambers	220 Union St	Aberdeen	Insurance assessors		5710																				
"Warden Insurance Co. Ltd; branch manager, R. Smith"					218 Union St	Aberdeen			828																				
"The Standard Property Investment Co., Ltd"					218 Union St	Aberdeen			2253																				
"Scottish Equitable Life Assurance Society; resident secretary, K. A. M. Duthie"					218 Union St	Aberdeen			2253																				
"William Garden, Ltd"					216 Union St	Aberdeen	Gunsmiths and fishing tackle manufacturers		1050																				
George Watt & Stewart				Central Chambers	214 Union St	Aberdeen	Architects and valuators																						
Wm. Ross				Central Chambers	214 Union St	Aberdeen	Advocate		552																				
"Employers' Liability Assurance Corporation Ltd; resident inspector, W. S. Rannie"				Central Chambers	214 Union St	Aberdeen			4023																				
"Clerical, Medical and General Life Assurance Society"				Central Chambers	214 Union St	Aberdeen			4023																				
Alec Fraser				Central Chambers	214 Union St	Aberdeen	Artist																						
Hugh F. Campbell				Central Chambers	214 Union St	Aberdeen	Advocate		568																				
Reith & Anderson Ltd				Central Chambers	214 Union St	Aberdeen	"Estate property, and sporting agents, surveyors, and valuers"		6720	"""Estates, Aberdeen"""																			
Jas. J. G. Fyfe				Central Chambers	214 Union St	Aberdeen	"Accountant, estate and business agent"		5084																				
W. Balfour Robb				Central Chambers	214 Union St	Aberdeen	Solicitor		5084																				
John Lewis Ltd. (Torry Coaling Co.)					212 Union St	Aberdeen	Coal merchants		7000																				
John & W. G. Craigen					210 Union St	Aberdeen	Advocates		488																				
"Francis S. Teunon, M.A., B.L."					210 Union St	Aberdeen	Advocate of John & W. G. Craigen																						
Wm. Murray					210 Union St	Aberdeen	Stockbroker		7008 & 7009	"""Bonus, Aberdeen"""																			
T. S. Aikman					210 Union St 	Aberdeen	Chartered accountant		4945																				
National Insurance Audit Dept.					210 Union St	Aberdeen																							
"Royal Insurance Co., Ltd; A. Fraser, local manager"					208 Union St	Aberdeen			845 & 846	"""Royal, Aberdeen"""																			
"British Engine Boiler and Electrical Insurance Co., Ltd; district representative, D. Wark"					208 Union St	Aberdeen			845 & 846																				
"Royal Northern Club; G. B. McAra, steward"					204 Union St	Aberdeen			2293																				
"Young Men's Christian Institute; John A. Macdonald, secretary"					198 Union St	Aberdeen																							
"The Aberdeen Town Council Music Hall; manager, A.B. Charles"				Music Hall Buildings	"Music Hall, Union St"	Aberdeen																							
Watt & Milne					166-172 Union St	Aberdeen	"Furs, gowns, mantles, knitwear, millinery, underwear, gloves, hosiery and silk specialists"		86																				
Aberdeen Liberal Association					166 Union St	Aberdeen																							
		Wm. Torrance			166 Union St	Aberdeen																							
Kincardine and West Aberdeen Liberal Association					166 Union St	Aberdeen			5007																				
British Women's Temperance Association					166 Union St	Aberdeen			2738																				
"Ocean Accident and Guarantee Corporation Limited; branch manager, G. H. Stewart"					166 Union St	Aberdeen			2439																				
Thos. W. Harrow					164 Union St	Aberdeen	"Florist, fruiterer and confectioner"		6633																				
Strathdee's Restaurant and Cafe					162 Union St	Aberdeen			6570																				
John Cruickshank & Co.					160 Union St	Aberdeen	"Assessors of fire losses, surveyors and valuators"		1195	"""Losses, Aberdeen"""																			
Aston Hotel (Temperance); proprietor Jas. Anderson					160 Union St	Aberdeen			3377																				
A. G. Duncan					160 Union St	Aberdeen	Jeweller																						
Corporation Electricity Dept.					156 Union St	Aberdeen																							
West-End Cafe					154A Union St	Aberdeen			2309																				
"Scottish Temperance & General Assurance Co., Ltd.; resident secretary, Alfred J. Robertson"					154 Union St	Aberdeen			941																				
"The Scottish Plate Glass Insurance Co., Ltd; district superintendent, R. Park Yunnie"					154 Union St	Aberdeen			1175																				
"Guardian Assurance Co., Ltd.; local secretary, R. Park Yunnie"					154 Union St	Aberdeen			1175																				
Municipal Mutual Insurance Ltd.					154 Union St	Aberdeen			7215	"""Immune, Aberdeen"""																			
"Edwin L. Williamson, F.S.I."					154 Union St	Aberdeen	C.E. and architect		3487																				
Peter Scott					154 Union St	Aberdeen	Solicitor		858																				
"Aberdeen Photographic Assoc.; secretary, Miss H. M. Bailey"					154 Union St	Aberdeen																							
Harry Forbes					154 Union St	Aberdeen	Solicitor		858																				
George Falconer & Co.					154 Union St	Aberdeen	S.S.C. and notaries public		412																				
W. Lindsay Cook					154 Union St	Aberdeen	S.S.C.																						
Mrs. John Anderson (of G. Bruce & Co.)					154 Union St	Aberdeen			5566																				
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
